hl_p_homeless_tot, lga_name_2016, lga_code16
31,"Alpine (S)","20110"
52,"Ararat (RC)","20260"
413,"Ballarat (C)","20570"
326,"Banyule (C)","20660"
45,"Bass Coast (S)","20740"
92,"Baw Baw (S)","20830"
167,"Bayside (C)","20910"
46,"Benalla (RC)","21010"
426,"Boroondara (C)","21110"
1477,"Brimbank (C)","21180"
7,"Buloke (S)","21270"
121,"Campaspe (S)","21370"
220,"Cardinia (S)","21450"
1280,"Casey (C)","21610"
35,"Central Goldfields (S)","21670"
62,"Colac-Otway (S)","21750"
45,"Corangamite (S)","21830"
972,"Darebin (C)","21890"
212,"East Gippsland (S)","22110"
546,"Frankston (C)","22170"
16,"Gannawarra (S)","22250"
355,"Greater Shepparton (C)","22830"
24,"Hepburn (S)","22910"
10,"Hindmarsh (S)","22980"
331,"Hobsons Bay (C)","23110"
43,"Horsham (RC)","23190"
916,"Hume (C)","23270"
22,"Indigo (S)","23350"
null,null,"23430"
365,"Knox (C)","23670"
null,null,"23810"
41,"Loddon (S)","23940"
59,"Macedon Ranges (S)","24130"
219,"Manningham (C)","24210"
19,"Mansfield (S)","24250"
713,"Maribyrnong (C)","24330"
321,"Maroondah (C)","24410"
1725,"Melbourne (C)","24600"
333,"Melton (C)","24650"
175,"Mildura (RC)","24780"
106,"Mitchell (S)","24850"
68,"Moira (S)","24900"
842,"Monash (C)","24970"
403,"Moonee Valley (C)","25060"
69,"Moorabool (S)","25150"
771,"Moreland (C)","25250"
298,"Mornington Peninsula (S)","25340"
36,"Murrindindi (S)","25620"
67,"Nillumbik (S)","25710"
23,"Northern Grampians (S)","25810"
1127,"Port Phillip (C)","25900"
26,"Pyrenees (S)","25990"
6,"Queenscliffe (B)","26080"
48,"South Gippsland (S)","26170"
14,"Southern Grampians (S)","26260"
395,"Stonnington (C)","26350"
27,"Strathbogie (S)","26430"
48,"Surf Coast (S)","26490"
95,"Swan Hill (RC)","26610"
6,"Towong (S)","26670"
75,"Wangaratta (RC)","26700"
149,"Warrnambool (C)","26730"
69,"Wellington (S)","26810"
13,"West Wimmera (S)","26890"
742,"Whitehorse (C)","26980"
630,"Whittlesea (C)","27070"
168,"Wodonga (C)","27170"
730,"Wyndham (C)","27260"
838,"Yarra (C)","27350"
366,"Yarra Ranges (S)","27450"
3,"Yarriambiack (S)","27630"
4,"Unincorporated Vic","29399"
497,"Glen Eira (C)","22310"
39,"Glenelg (S)","22410"
17,"Golden Plains (S)","22490"
295,"Greater Bendigo (C)","22620"
1942,"Greater Dandenong (C)","22670"
750,"Greater Geelong (C)","22750"
64,"Mount Alexander (S)","25430"
24,"Moyne (S)","25490"
